letter,img_x,img_y,scale,R0,theta0,R1,theta1,c0x,c0y,c1x,c1y,r0x,r0y,r1x,r1y,r0,r1,c0_x,c0_y,c1_x,c1_y,r0_x,r0_y,r1_x,r1_y
NK,-4460.0,-1705.0,9.292232,52.0,-1.1760052,46.818798,-1.2220253,462.0,280.0,704.0,374.0,452.0,304.0,696.0,396.0,5.59607207396458,5.03848784662286,529.6897451548778,213.61928974653236,555.7330036529437,223.73526618792988,528.6135774483461,216.20209224220832,554.8720694877184,226.10283514229948
TEN,-870.0,-2880.0,6.7740364,63.15061,-0.19118446,63.245552,1.2490457,274.0,321.0,431.0,217.0,243.0,327.0,421.0,187.0,9.322449167825553,9.336464740579192,168.8801081730237,472.5395334456721,192.0568363051607,457.18679633903355,164.303811535468,473.42526827874735,190.58061158336852,452.75812217365706
DEF,-2940.0,-2855.0,6.7740364,177.29073,-0.19297081,413.10532,-2.383585,330.0,310.0,184.0,195.0,243.0,327.0,334.0,337.0,26.172095857057986,60.98362860878634,482.72548402603803,467.22512444722025,461.1726030878724,450.24854014661037,469.8823289464462,469.73470647426694,483.31597391475486,471.2109311960591
JENT,-3090.0,-3190.0,6.7740364,254.28331,-2.0801866,343.35403,0.53142875,181.0,247.0,498.0,453.0,243.0,358.0,350.0,366.0,37.53793085611409,50.686770741296876,482.8731064982172,507.3784368799672,529.6694301790288,537.7886661488858,492.02569977332865,523.7645312918602,507.8213042965048,524.945511069294
DEM,-825.0,-3325.0,6.7740364,86.0,0.0,92.021736,1.5490606,400.0,412.0,659.0,265.0,357.0,412.0,658.0,219.0,12.69553260741262,13.584476162543208,180.83752841954023,551.6651785337322,219.0717487139573,529.9646751233873,174.4897621158339,551.6651785337322,218.92412624177808,523.1740414031433
MEN,-365.0,-2415.0,4.4444447,46.0,1.5707964,52.0,1.5707964,388.0,406.0,646.0,400.0,388.0,383.0,646.0,374.0,10.349999404875033,11.699999327250039,169.42499025806305,634.7249635033146,227.47498692018826,633.3749635809396,169.42499025806305,629.5499638008771,227.47498692018826,627.5249639173146
LD,-2055.0,-3190.0,5.486969,93.38094,-2.9694018,102.176315,-0.7022569,328.0,228.0,678.0,137.0,374.0,236.0,639.0,170.0,17.01867460887787,18.62163154193144,434.3017064612539,622.9304375512236,498.0892000665577,606.3456892138446,442.6852056208081,624.3884374050591,490.98145077910954,612.3599386109162
TED,-2215.0,-3565.0,5.486969,46.8615,0.87605804,39.446167,1.0390723,418.0,351.0,661.0,173.0,403.0,333.0,651.0,156.0,8.54050751881412,7.189063215046413,479.86420189361377,713.6909284524844,524.1509474538675,681.2504317046441,477.13045216767216,710.4104287813545,522.3284476365731,678.1521820152437
ND,-460.0,-3565.0,5.486969,52.153618,1.6475682,57.271286,0.43240777,417.0,349.0,619.0,230.0,419.0,323.0,593.0,218.0,9.504995927624158,10.437690827121495,159.83323397671828,713.3264284890255,196.64773028606504,691.6386806632222,160.19773394017716,708.5879289640601,191.90923076109962,689.451680882469
MD,-475.0,-4010.0,5.486969,96.02083,1.5916266,95.07891,0.38831872,418.0,371.0,723.0,188.0,419.0,323.0,679.0,170.0,17.4997945131456,17.328129610355006,162.7492336843893,798.4371699566736,218.3354781118683,765.0854233001863,162.93148366611877,789.6891708336606,210.316478915773,761.8049236290564
SESl,-1990.0,-4010.0,5.486969,84.40379,-1.810028,80.99383,-1.9237868,578.0,222.0,520.0,281.0,588.0,263.0,534.0,319.0,15.382589185395434,14.761124037697314,468.0179530812002,771.2819226789873,457.4474541408927,782.0346716010241,469.84045289849456,778.7541719298943,459.99895388510487,788.9601709067429
SESr,-1990.0,-4010.0,5.486969,81.706795,1.9467573,64.03124,1.8233505,637.0,297.0,668.0,353.0,652.0,259.0,676.0,322.0,14.891061895921045,11.669692320113343,478.7707020032371,784.9506713086952,484.4204514368497,795.1566702855438,481.5044517291787,778.0251720029764,485.87845129068523,789.5069208519311
